Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,"85,263,864","25,759.27","624,815",188.76,"24,498","1,003,740",303.24,"1,750",0.53,41
India,South-East Asia,"43,319,396","3,139.08","82,701",5.99,"9,923","524,890",38.04,113,0.01,17
Brazil,Americas,"31,704,193","14,915.45","247,328",116.36,"10,691","669,065",314.77,955,0.45,55
France,Europe,"29,165,005","44,842.09","221,196",340.1,"11,564","145,763",224.12,254,0.39,67
Germany,Europe,"27,334,993","32,867.71","381,612",458.85,"70,775","140,358",168.77,39,0.05,4
The United Kingdom,Europe,"22,509,380","33,157.62","81,040",119.38,"9,736","179,601",264.56,157,0.23,0
Russian Federation,Europe,"18,403,427","12,610.75","21,047",14.42,"2,500","380,577",260.79,440,0.3,60
Republic of Korea,Western Pacific,"18,289,373","35,673.23","50,329",98.17,"9,310","24,463",47.72,73,0.14,12
Italy,Europe,"17,896,065","30,006.07","232,022",389.03,"16,905","167,780",281.31,348,0.58,59
Turkey,Europe,"15,085,742","17,887.02",0,0,0,"98,996",117.38,0,0,0
Spain,Europe,"12,563,399","26,542.80","12,257",25.9,0,"107,482",227.08,210,0.44,0
Viet Nam,Western Pacific,"10,738,161","11,031.76","5,732",5.89,521,"43,083",44.26,0,0,0
Argentina,Americas,"9,341,492","20,668.95","28,039",62.04,0,"129,016",285.46,22,0.05,0
Japan,Western Pacific,"9,159,940","7,242.41","98,004",77.49,"10,207","31,045",24.55,135,0.11,13
Netherlands,Europe,"8,132,482","46,718.04","24,549",141.03,"2,920","22,345",128.36,9,0.05,0
Australia,Western Pacific,"7,822,716","30,677.46","254,616",998.5,"22,526","9,387",36.81,430,1.69,119
Iran (Islamic Republic of),Eastern Mediterranean,"7,234,988","8,613.80","1,108",1.32,231,"141,366",168.31,14,0.02,3
Colombia,Americas,"6,131,657","12,050.53","13,810",27.14,0,"139,918",274.98,24,0.05,0
Indonesia,South-East Asia,"6,070,933","2,219.53","8,924",3.26,"1,678","156,700",57.29,38,0.01,5
Poland,Europe,"6,011,660","15,837.61","1,249",3.29,374,"116,400",306.65,20,0.05,7
Mexico,Americas,"5,875,705","4,557.19","40,429",31.36,2,"325,408",252.39,35,0.03,0
Portugal,Europe,"5,062,552","49,170.52","101,397",984.83,"5,436","23,924",232.36,250,2.43,23
Ukraine,Europe,"5,015,994","11,469.39",0,0,0,"108,622",248.37,0,0,0
Malaysia,Western Pacific,"4,542,705","14,035.42","14,315",44.23,"2,093","35,735",110.41,19,0.06,3
Thailand,South-East Asia,"4,502,542","6,450.64","14,045",20.12,"1,714","30,506",43.71,138,0.2,21
Austria,Europe,"4,372,423","49,122.48","41,467",465.87,"5,155","19,998",224.67,17,0.19,1
China,Western Pacific,"4,324,973",293.96,"397,230",27,"36,220","19,987",1.36,"1,091",0.07,145
Israel,Europe,"4,249,469","49,095.36","55,001",635.44,"10,692","10,911",126.06,15,0.17,0
Belgium,Europe,"4,197,345","36,427.57","15,173",131.68,7,"31,868",276.57,29,0.25,0
South Africa,Africa,"3,986,601","6,721.78","7,475",12.6,0,"101,604",171.31,95,0.16,0
Czechia,Europe,"3,925,971","36,712.11","2,464",23.04,610,"40,309",376.93,3,0.03,0
Chile,Americas,"3,901,215","20,407.90","72,096",377.15,"7,489","58,277",304.86,168,0.88,26
Canada,Americas,"3,897,879","10,327.65","5,470",14.49,0,"41,470",109.88,0,0,0
Philippines,Western Pacific,"3,696,793","3,373.57","3,185",2.91,529,"60,467",55.18,6,0.01,0
Switzerland,Europe,"3,684,276","42,570.06",6,0.07,0,"13,273",153.36,0,0,0
Peru,Americas,"3,599,501","10,916.89","8,619",26.14,"1,635","213,389",647.19,65,0.2,7
Greece,Europe,"3,549,944","33,119.58","45,544",424.91,"4,832","30,099",280.81,73,0.68,12
Denmark,Europe,"3,155,972","54,200.59","10,153",174.37,"2,141","6,432",110.46,18,0.31,3
Romania,Europe,"2,912,878","15,070.11",0,0,0,"65,714",339.98,0,0,0
Sweden,Europe,"2,512,853","24,331.46",998,9.66,0,"19,075",184.7,1,0.01,0
Iraq,Eastern Mediterranean,"2,332,692","5,799.47","2,643",6.57,515,"25,229",62.72,6,0.02,1
Serbia,Europe,"2,022,902","29,204.39","2,306",33.29,408,"16,112",232.61,11,0.16,3
Bangladesh,South-East Asia,"1,958,074","1,188.95","3,669",2.23,874,"29,133",17.69,2,0,1
Hungary,Europe,"1,923,122","19,684.91","1,636",16.75,0,"46,594",476.93,23,0.24,0
Slovakia,Europe,"1,792,700","32,846.13","1,274",23.34,319,"20,137",368.95,18,0.33,0
Jordan,Eastern Mediterranean,"1,698,316","16,645.04",643,6.3,0,"14,068",137.88,0,0,0
Georgia,Europe,"1,658,755","41,581.41",0,0,0,"16,838",422.09,0,0,0
Ireland,Europe,"1,578,284","31,791.78","3,288",66.23,0,"7,442",149.91,8,0.16,0
Pakistan,Eastern Mediterranean,"1,532,153",693.62,880,0.4,171,"30,383",13.76,2,0,0
Norway,Europe,"1,439,748","26,823.04","2,609",48.61,56,"3,250",60.55,0,0,0
Kazakhstan,Europe,"1,395,200","7,430.48",132,0.7,20,"19,017",101.28,0,0,0
Singapore,Western Pacific,"1,370,981","23,434.20","27,336",467.26,"3,220","1,405",24.02,7,0.12,2
New Zealand,Western Pacific,"1,283,444","26,615.14","40,770",845.46,"5,695","1,350",28,64,1.33,13
Morocco,Eastern Mediterranean,"1,186,597","3,214.79","10,432",28.26,607,"16,087",43.58,5,0.01,0
Bulgaria,Europe,"1,168,508","16,809.48","1,361",19.58,381,"37,227",535.53,23,0.33,3
Croatia,Europe,"1,141,948","28,139.52","2,113",52.07,29,"16,031",395.03,12,0.3,1
Finland,Europe,"1,125,342","20,367.11","2,415",43.71,0,"4,771",86.35,0,0,0
Cuba,Americas,"1,105,778","9,762.65",147,1.3,25,"8,529",75.3,0,0,0
Lebanon,Eastern Mediterranean,"1,104,071","16,175.81","2,824",41.38,360,"10,454",153.16,8,0.12,1
Lithuania,Europe,"1,065,513","38,134.53","1,195",42.77,321,"9,162",327.91,6,0.22,0
Tunisia,Eastern Mediterranean,"1,044,426","8,837.12",886,7.5,0,"28,655",242.46,7,0.06,0
Slovenia,Europe,"1,031,234","49,203.36","2,836",135.31,151,"7,813",372.78,0,0,0
Belarus,Europe,"982,867","10,401.46",0,0,0,"6,978",73.85,0,0,0
Nepal,South-East Asia,"979,396","3,361.37",118,0.41,14,"11,952",41.02,0,0,0
Uruguay,Americas,"951,948","27,404.20","8,071",232.34,0,"7,312",210.49,22,0.63,0
United Arab Emirates,Eastern Mediterranean,"928,919","9,392.13","10,104",102.16,"1,532","2,309",23.35,4,0.04,0
Mongolia,Western Pacific,"926,282","28,255.04",0,0,0,"2,115",64.52,0,0,0
Bolivia (Plurinational State of),Americas,"915,224","7,840.51","2,751",23.57,0,"21,951",188.05,0,0,0
Costa Rica,Americas,"904,934","17,764.29",0,0,0,"8,525",167.35,0,0,0
Panama,Americas,"903,529","20,940.39","12,180",282.29,"1,143","8,323",192.9,24,0.56,4
Ecuador,Americas,"896,483","5,081.22","5,942",33.68,0,"35,693",202.31,35,0.2,0
Guatemala,Americas,"880,467","4,914.54","9,355",52.22,298,"18,401",102.71,114,0.64,8
Latvia,Europe,"832,168","43,622.11","1,470",77.06,49,"5,846",306.45,7,0.37,0
Azerbaijan,Europe,"793,015","7,821.30",131,1.29,5,"9,716",95.83,1,0.01,0
Saudi Arabia,Eastern Mediterranean,"786,069","2,257.92","7,086",20.35,"1,232","9,189",26.4,14,0.04,1
Puerto Rico,Americas,"741,971","25,935.31","23,396",817.8,"1,950","4,480",156.6,40,1.4,0
Sri Lanka,South-East Asia,"664,010","3,100.93",45,0.21,0,"16,520",77.15,1,0.01,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,"658,503","12,908.25",624,12.23,0,"5,660",110.95,0,0,0
Paraguay,Americas,"653,428","9,161.23","1,384",19.4,0,"18,947",265.64,15,0.21,0
Kuwait,Eastern Mediterranean,"639,290","14,969.66","2,638",61.77,582,"2,555",59.83,0,0,0
Myanmar,South-East Asia,"613,508","1,127.57",48,0.09,14,"19,434",35.72,0,0,0
Bahrain,Eastern Mediterranean,"607,474","35,700.69","10,290",604.73,"1,719","1,491",87.63,2,0.12,0
Dominican Republic,Americas,"597,476","5,507.75","4,898",45.15,0,"4,383",40.4,1,0.01,0
Estonia,Europe,"579,316","43,591.16",819,61.63,106,"2,588",194.74,2,0.15,2
Venezuela (Bolivarian Republic of),Americas,"524,911","1,845.94",620,2.18,88,"5,724",20.13,0,0,0
Republic of Moldova,Europe,"519,452","12,876.97",224,5.55,0,"11,554",286.42,3,0.07,0
Egypt,Eastern Mediterranean,"514,047",502.32,39,0.04,0,"24,722",24.16,2,0,0
Libya,Eastern Mediterranean,"502,110","7,307.36",34,0.5,0,"6,430",93.58,0,0,0
Cyprus,Europe,"497,454","56,019.28","3,470",390.76,0,"1,070",120.5,2,0.23,0
Ethiopia,Africa,"482,032",419.29,"2,548",2.22,0,"7,518",6.54,1,0,0
Honduras,Americas,"425,930","4,300.32",275,2.78,0,"10,903",110.08,1,0.01,0
Armenia,Europe,"423,104","14,278.45",60,2.03,0,"8,625",291.07,0,0,0
R�union,Africa,"419,968","46,907.45",0,0,0,799,89.24,0,0,0
Oman,Eastern Mediterranean,"390,244","7,641.92",249,4.88,0,"4,628",90.63,0,0,0
Bosnia and Herzegovina,Europe,"378,259","11,529.42",147,4.48,21,"15,797",481.5,2,0.06,1
Qatar,Eastern Mediterranean,"376,149","13,055.96","3,445",119.57,668,678,23.53,1,0.04,0
Kenya,Africa,"329,353",612.51,"2,208",4.11,0,"5,651",10.51,0,0,0
Zambia,Africa,"324,025","1,762.54",688,3.74,0,"3,992",21.72,3,0.02,0
Botswana,Africa,"313,493","13,330.90",0,0,0,"2,705",115.03,0,0,0
North Macedonia,Europe,"312,960","15,021.74",354,16.99,81,"9,322",447.45,0,0,0
Albania,Europe,"277,444","9,640.84",706,24.53,35,"3,497",121.52,0,0,0
Algeria,Africa,"265,975",606.54,38,0.09,0,"6,875",15.68,0,0,0
Luxembourg,Europe,"256,678","40,995.80","3,985",636.47,21,"1,086",173.45,3,0.48,1
Nigeria,Africa,"256,573",124.47,221,0.11,0,"3,144",1.53,0,0,0
Zimbabwe,Africa,"254,644","1,713.28",489,3.29,0,"5,529",37.2,8,0.05,0
Uzbekistan,Europe,"239,726",716.26,446,1.33,0,"1,637",4.89,0,0,0
Montenegro,Europe,"238,543","37,980.80",598,95.21,60,"2,723",433.56,1,0.16,0
Kosovo[1],Europe,"228,507","12,725.47",108,6.01,12,"3,130",174.31,1,0.06,0
Mauritius,Africa,"227,442","17,883.92",0,0,0,"1,000",78.63,0,0,0
Mozambique,Africa,"227,127",726.68,646,2.07,0,"2,209",7.07,3,0.01,0
Lao People's Democratic Republic,Western Pacific,"210,208","2,889.24",50,0.69,5,757,10.41,0,0,0
Kyrgyzstan,Europe,"200,993","3,080.73",0,0,0,"2,991",45.85,0,0,0
Iceland,Europe,"191,079","52,474.91",655,179.88,0,153,42.02,0,0,0
Martinique,Americas,"188,959","50,353.48","8,076","2,152.08",0,957,255.02,7,1.87,0
Afghanistan,Eastern Mediterranean,"181,749",466.88,571,1.47,83,"7,714",19.82,4,0.01,1
Maldives,South-East Asia,"180,384","33,370.83",280,51.8,0,300,55.5,1,0.19,0
Guadeloupe,Americas,"166,424","41,593.11","2,099",524.59,0,950,237.43,0,0,0
Trinidad and Tobago,Americas,"165,807","11,847.69","1,084",77.46,101,"3,979",284.32,16,1.14,2
Namibia,Africa,"165,783","6,524.57",220,8.66,0,"4,054",159.55,4,0.16,0
Uganda,Africa,"165,607",362.05,356,0.78,0,"3,613",7.9,8,0.02,0
El Salvador,Americas,"164,134","2,530.51",0,0,0,"4,137",63.78,2,0.03,0
Ghana,Africa,"163,666",526.72,334,1.08,0,"1,446",4.65,1,0,0
Brunei Darussalam,Western Pacific,"157,774","36,064.36","4,163",951.59,751,166,37.95,2,0.46,2
Jamaica,Americas,"141,720","4,785.95","1,050",35.46,88,"3,098",104.62,14,0.47,4
Cambodia,Western Pacific,"136,262",815.02,0,0,0,"3,056",18.28,0,0,0
Rwanda,Africa,"130,569","1,008.08",187,1.44,0,"1,459",11.26,0,0,0
Cameroon,Africa,"119,947",451.85,0,0,0,"1,930",7.27,0,0,0
Angola,Africa,"99,761",303.54,0,0,0,"1,900",5.78,0,0,0
Malta,Europe,"98,105","19,065.66","1,815",352.73,233,730,141.87,3,0.58,0
Democratic Republic of the Congo,Africa,"90,561",101.12,0,0,0,"1,353",1.51,0,0,0
Malawi,Africa,"86,204",450.62,91,0.48,0,"2,644",13.82,2,0.01,0
Senegal,Africa,"86,201",514.82,31,0.19,0,"1,968",11.75,1,0.01,0
French Guiana,Americas,"85,596","28,657.90","1,089",364.6,0,400,133.92,1,0.34,0
Barbados,Americas,"82,899","28,846.98",644,224.1,73,472,164.25,5,1.74,1
C�te d�Ivoire,Africa,"82,724",313.61,232,0.88,0,802,3.04,3,0.01,0
Suriname,Americas,"80,766","13,767.75",93,15.85,0,"1,355",230.98,3,0.51,0
French Polynesia,Western Pacific,"73,166","26,046.25",42,14.95,0,649,231.04,0,0,0
Eswatini,Africa,"72,980","6,290.49",76,6.55,0,"1,412",121.71,2,0.17,0
Guyana,Americas,"66,491","8,453.48",599,76.16,35,"1,247",158.54,8,1.02,2
Fiji,Western Pacific,"65,361","7,291.13",144,16.06,95,865,96.49,0,0,0
Madagascar,Africa,"65,009",234.77,324,1.17,0,"1,398",5.05,2,0.01,0
New Caledonia,Western Pacific,"63,002","22,067.41",379,132.75,0,313,109.63,0,0,0
Sudan,Eastern Mediterranean,"62,533",142.61,48,0.11,12,"4,950",11.29,0,0,0
Belize,Americas,"61,918","15,571.84","1,055",265.32,0,678,170.51,0,0,0
Bhutan,South-East Asia,"59,674","7,733.72",30,3.89,0,21,2.72,0,0,0
Mauritania,Africa,"59,275","1,274.83",19,0.41,0,982,21.12,0,0,0
Cabo Verde,Africa,"57,808","10,397.37",546,98.2,0,402,72.3,0,0,0
Syrian Arab Republic,Eastern Mediterranean,"55,916",319.51,9,0.05,1,"3,150",18,0,0,0
Jersey,Europe,"51,792","48,046.31",406,376.64,0,131,121.53,2,1.86,0
Gabon,Africa,"47,742","2,145.00",31,1.39,0,304,13.66,0,0,0
Papua New Guinea,Western Pacific,"44,691",499.51,29,0.32,0,658,7.35,0,0,0
Seychelles,Africa,"44,397","45,143.22",0,0,0,167,169.81,0,0,0
Cura�ao,Americas,"44,314","27,005.42",187,113.96,0,278,169.42,1,0.61,0
Andorra,Europe,"43,449","56,233.74",225,291.21,0,153,198.02,0,0,0
Guam,Western Pacific,"42,697","25,298.18",668,395.79,134,371,219.82,2,1.19,1
Burundi,Africa,"42,472",357.18,99,0.83,0,15,0.13,0,0,0
Aruba,Americas,"39,339","36,846.00","1,038",972.22,0,219,205.12,3,2.81,0
Mayotte,Africa,"37,820","13,862.87",69,25.29,0,187,68.55,0,0,0
Togo,Africa,"37,247",449.91,47,0.57,0,273,3.3,0,0,0
Guinea,Africa,"36,817",280.34,0,0,0,442,3.37,0,0,0
Bahamas,Americas,"35,644","9,064.09",293,74.51,0,815,207.25,3,0.76,0
United Republic of Tanzania,Africa,"35,159",58.86,0,0,0,840,1.41,0,0,0
Faroe Islands,Europe,"34,658","70,926.02",0,0,0,28,57.3,0,0,0
Lesotho,Africa,"33,938","1,584.22",49,2.29,0,699,32.63,0,0,0
Isle of Man,Europe,"33,821","39,774.44",570,670.34,0,107,125.84,0,0,0
Mali,Africa,"31,137",153.76,10,0.05,0,736,3.63,0,0,0
Haiti,Americas,"31,115",272.88,0,0,0,837,7.34,0,0,0
Benin,Africa,"27,122",223.72,208,1.72,0,163,1.35,0,0,0
Cayman Islands,Americas,"26,797","40,774.50",472,718.2,0,28,42.61,0,0,0
Saint Lucia,Americas,"26,763","14,574.65",199,108.37,12,376,204.76,5,2.72,0
Somalia,Eastern Mediterranean,"26,675",167.84,0,0,0,"1,361",8.56,0,0,0
Guernsey,Europe,"26,131","40,533.29",257,398.65,0,47,72.9,0,0,0
Congo,Africa,"24,128",437.25,0,0,0,385,6.98,0,0,0
Timor-Leste,South-East Asia,"22,945","1,740.31",5,0.38,1,133,10.09,0,0,0
Solomon Islands,Western Pacific,"21,544","3,136.48",0,0,0,153,22.28,4,0.58,0
Burkina Faso,Africa,"21,044",100.67,0,0,0,387,1.85,0,0,0
United States Virgin Islands,Americas,"20,625","19,751.02",153,146.52,63,118,113,3,2.87,1
Gibraltar,Europe,"19,010","56,424.56",204,605.5,0,102,302.75,0,0,0
Grenada,Americas,"18,115","16,098.93",80,71.1,0,231,205.29,0,0,0
Tajikistan,Europe,"17,786",186.48,0,0,0,125,1.31,0,0,0
South Sudan,Africa,"17,687",158.01,23,0.21,0,138,1.23,0,0,0
Liechtenstein,Europe,"17,619","45,471.91",0,0,0,84,216.79,0,0,0
San Marino,Europe,"17,502","51,570.51",154,453.77,0,115,338.85,0,0,0
Equatorial Guinea,Africa,"15,951","1,136.93",6,0.43,0,183,13.04,0,0,0
Bermuda,Americas,"15,762","25,311.13",334,536.35,0,138,221.61,0,0,0
Djibouti,Eastern Mediterranean,"15,690","1,588.06",0,0,0,189,19.13,0,0,0
Dominica,Americas,"14,781","20,531.73",143,198.64,0,67,93.07,0,0,0
Nicaragua,Americas,"14,619",220.68,42,0.63,0,241,3.64,1,0.02,0
Samoa,Western Pacific,"14,497","7,306.44",0,0,0,28,14.11,0,0,0
Central African Republic,Africa,"14,371",297.55,0,0,0,113,2.34,0,0,0
Monaco,Europe,"12,597","32,099.17",136,346.55,4,57,145.25,0,0,0
Tonga,Western Pacific,"12,079","11,428.17",170,160.84,0,12,11.35,0,0,0
Gambia,Africa,"12,002",496.63,0,0,0,365,15.1,0,0,0
Greenland,Europe,"11,971","21,086.10",0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,"11,824",39.64,2,0.01,1,"2,149",7.21,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,"11,482","19,948.92",0,0,0,34,59.07,0,0,0
Vanuatu,Western Pacific,"10,931","3,558.91",236,76.84,0,14,4.56,0,0,0
Saint Martin,Americas,"10,875","28,130.58",75,194,0,45,116.4,1,2.59,0
Sint Maarten,Americas,"10,508","24,504.45",74,172.57,0,86,200.55,0,0,0
Eritrea,Africa,"9,775",275.63,4,0.11,0,103,2.9,0,0,0
Niger,Africa,"9,031",37.31,0,0,0,310,1.28,0,0,0
Saint Vincent and the Grenadines,Americas,"8,995","8,107.99",79,71.21,7,110,99.15,2,1.8,0
Bonaire,Americas,"8,696","41,577.82",46,219.94,0,30,143.44,0,0,0
Antigua and Barbuda,Americas,"8,581","8,762.47",89,90.88,0,140,142.96,0,0,0
Guinea-Bissau,Africa,"8,307",422.1,0,0,0,171,8.69,0,0,0
Comoros,Africa,"8,131",935.03,0,0,0,160,18.4,0,0,0
Sierra Leone,Africa,"7,688",96.38,6,0.08,0,125,1.57,0,0,0
Liberia,Africa,"7,493",148.15,4,0.08,0,294,5.81,0,0,0
Chad,Africa,"7,420",45.17,0,0,0,193,1.18,0,0,0
British Virgin Islands,Americas,"6,902","22,826.34",0,0,0,63,208.35,0,0,0
American Samoa,Western Pacific,"6,342","11,489.76",0,0,0,31,56.16,0,0,0
Turks and Caicos Islands,Americas,"6,189","15,984.81",0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,"6,010","2,742.30",0,0,0,73,33.31,0,0,0
Saint Kitts and Nevis,Americas,"5,913","11,116.33",61,114.68,3,43,80.84,0,0,0
Cook Islands,Western Pacific,"5,727","32,606.47",10,56.94,0,1,5.69,0,0,0
Palau,Western Pacific,"5,181","28,636.97",36,198.98,0,6,33.16,0,0,0
Saint Barth�lemy,Americas,"4,671","47,253.41",25,252.91,0,4,40.47,0,0,0
Anguilla,Americas,"3,374","22,490.34",32,213.31,0,9,59.99,0,0,0
Kiribati,Western Pacific,"3,215","2,691.53",0,0,0,13,10.88,0,0,0
Saint Pierre and Miquelon,Americas,"2,767","47,748.06",2,34.51,2,1,17.26,0,0,0
Falkland Islands (Malvinas),Americas,"1,756","50,416.31",23,660.35,0,0,0,0,0,0
Montserrat,Americas,"1,015","20,304.06",3,60.01,0,8,160.03,0,0,0
Sint Eustatius,Americas,945,"30,105.13",8,254.86,0,5,159.29,0,0,0
Saba,Americas,608,"31,453.70",1,51.73,0,1,51.73,0,0,0
Wallis and Futuna,Western Pacific,454,"4,036.99",0,0,0,7,62.24,0,0,0
Nauru,Western Pacific,350,"3,230.57",347,"3,202.88",0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,38,33.04,0,0,0,0,0,0,0,0
Holy See,Europe,26,"3,213.84",0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.41,0,0,0,0,0,0,0,0
Niue,Western Pacific,10,618.05,1,61.81,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.44,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
